id,y_true,y_pred,absolute_error
1669194493.247053,59.0,134.18536033536822,75.18536033536822
1669194503.268909,275.0,218.13861770833944,56.86138229166056
1669194513.292616,197.0,194.39235775717015,2.6076422428298542
1669194523.306746,253.0,122.05953122619385,130.94046877380615
1669194533.323291,49.0,98.58167682957607,49.58167682957607
1669194543.338227,162.0,125.04342485444745,36.95657514555255
1669194553.357075,84.0,92.86437134294496,8.864371342944963
1669194563.368815,265.0,165.79595853246482,99.20404146753518
1669194573.380975,303.0,263.2698054419086,39.7301945580914
1669194583.400091,122.0,169.70306360529418,47.703063605294176
1669194593.408573,178.0,121.99979950821111,56.00020049178889
1669194603.426883,249.0,210.08705555805898,38.91294444194102
1669194613.442368,150.0,148.98348937882523,1.016510621174774
1669194623.459071,144.0,180.67619968898725,36.67619968898725
1669194633.474839,118.0,155.51050404974444,37.51050404974444
1669194770.278702,142.0,138.95794611461957,3.042053885380426
1669194780.294737,210.0,151.99864316366757,58.001356836332434
1669194790.313326,232.0,230.14173331652196,1.8582666834780355
1679296243.687394,135.0,128.46271126779868,6.5372887322013185
1679296253.703113,178.0,190.33862547261316,12.33862547261316
1679296263.718444,113.0,121.58137266933188,8.581372669331884
1679296273.741304,103.0,129.83194068571228,26.831940685712283
1679296283.760638,184.0,165.48778814485598,18.512211855144017
1679296293.778948,166.0,211.75723036152326,45.757230361523256
1679296303.804371,214.0,133.615306319189,80.38469368081101
1679296313.833874,87.0,89.95910251657962,2.9591025165796196
